縣市,風力件數,太陽光電件數,其他(含水力)件數,風力躉購容量(瓩),太陽光電躉購容量(瓩),其他(含水力)躉購容量(瓩)
基隆市,0,5,0,0,470,0
台北市,0,108,0,0,10902,0
新北市,0,266,1,0,20231,70000
桃園市,5,682,2,48356,123008,130000
新竹市,0,124,0,0,11453,0
新竹縣,2,341,0,11500,53942,0
苗栗縣,10,592,0,157100,53456,0
台中市,9,1244,1,89704,128440,110
彰化縣,4,1963,1,96609,306192,195
南投縣,0,572,1,0,44100,16704
雲林縣,5,2687,1,2332,395860,200
嘉義市,0,288,0,0,12003,0
嘉義縣,0,1672,2,0,187445,50130
台南市,0,3931,3,0,398163,22466
高雄市,0,3195,1,0,290709,788
屏東縣,0,1767,2,0,228583,185
宜蘭縣,0,150,0,0,18516,0
花蓮縣,0,76,0,0,5011,0
台東縣,0,292,2,0,15556,2010
澎湖縣,0,531,0,0,12928,0
金門縣,0,89,0,0,6985,0
連江縣,0,1,0,0,12,0