縣市,太陽光電裝置容量(瓦) A,太陽光電發電量(度) B,每瓦日平均發電量(度)  B/A/365,每瓦年平均發電量(度) B/A,容量因數 B/(A*8760小時)
基隆市,470,151253,0.88,322,3.68%
臺北市,10902,10927586,2.75,1002,11.44%
新北市,20231,16992130,2.3,840,9.59%
桃園市,123699,132108345,2.93,1068,12.19%
新竹市,11453,11699468,2.8,1021,11.66%
新竹縣,53942,51161875,2.6,948,10.83%
苗栗縣,53498,53382036,2.73,998,11.39%
臺中市,137348,143459582,2.86,1044,11.92%
彰化縣,306192,359066863,3.21,1173,13.39%
南投縣,44100,47633301,2.96,1080,12.33%
雲林縣,395860,489640370,3.39,1237,14.12%
嘉義市,12003,13695196,3.13,1141,13.03%
嘉義縣,187505,217281967,3.17,1159,13.23%
臺南市,398163,454231074,3.13,1141,13.02%
高雄市,297033,324160184,2.99,1091,12.46%
屏東縣,230041,242074771,2.88,1052,12.01%
宜蘭縣,18516,18172295,2.69,981,11.20%
花蓮縣,5011,4395755,2.4,877,10.01%
臺東縣,15556,15532750,2.74,999,11.40%
澎湖縣,13154,15234779,3.17,1158,13.22%
金門縣,7513,8488957,3.1,1130,12.90%
連江縣,12,0,0,0,0%
合計,2342201,2629491167,3.08,1123,12.82%