年度,慣常水力,風力,太陽能,承攬水力,民營水力,民營風力,民營太陽能,民營生質能,垃圾沼氣,地熱,再生能源,台電系統
95,3364,174,0,644,60,93,0,0,2228,0,6563,196567
96,3401,276,0,902,95,154,0,0,2316,0,7144,201856
97,3411,273,0,728,144,330,0,0,2279,0,7165,200241
98,2957,372,0,625,147,476,1,0,2262,0,6841,193605
99,3433,515,4,620,116,507,2,0,2357,0,7554,207385
100,3095,803,9,768,113,730,29,0,2393,0,7939,213042
101,4687,737,13,804,157,753,125,0,2373,0,9649,211708
102,4539,748,17,712,150,869,284,0,2430,0,9750,213429
103,3601,707,23,559,135,780,489,0,2494,0,8788,219224
104,3748,716,25,587,112,787,786,1,2526,0,9289,219104
105,5519,646,23,852,166,801,1045,3,2545,0,11599,225793
106,4503,746,24,777,144,952,1597,3,2501,0,11246,231080
107,3555,731,31,757,132,913,2631,6,2658,0,11414,233289