電廠名稱,地址,連絡電話,傳真電話,機組名稱,商轉日期,裝置容量(瓩),燃料種類
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協一機,66.01.15,500000,重油
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協二機,66.12.22,500000,重油
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協三機,69.03.16,500000,重油
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協四機,74.08.26,500000,重油
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複一機,95.08.17,742700,天然氣/輕柴油
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複二機,95.12.26,742700,天然氣/輕柴油
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複三機,96.11.12,724700,天然氣
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複四機,96.11.12,724700,天然氣
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複五機,97.07.03,724700,天然氣
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複六機,98.1.14,724700,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複一機,72.03.28,258500,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複二機,72.03.30,258500,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複三機,72.03.31,246800,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複四機,81.03.22,386000,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複五機,81.05.01,386000,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複六機,89.05.30,321200,天然氣
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中一機,80.05.27,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中二機,80.08.25,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中三機,81.06.26,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中四機,81.10.04,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中五機,85.03.29,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中六機,85.05.04,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中七機,85.10.17,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中八機,86.06.27,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中九機,94.08.01,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中十機,95.06.30,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#1,79.05.29,70000,輕柴油
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#2,79.05.30,70000,輕柴油
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#3,79.06.26,70000,輕柴油
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#4,79.06.19,70000,輕柴油
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興一機,71.09.28,500000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興二機,72.07.31,500000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興三機,74.06.19,550000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興四機,75.04.07,550000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複一機,87.04.26,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複二機,87.05.26,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複三機,87.06.29,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複四機,87.08.31,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複五機,88.01.16,445190,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複一機,84.09.12,288800,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複二機,84.11.28,288800,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複三機,85.09.17,288800,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複四機,92.06.30,251400,天然氣
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大三機,61.12.12,375000,重油
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大四機,62.10.25,375000,重油
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大五機,64.10.16,500000,天然氣
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大六機,83.09.11,550000,天然氣
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖一機,89.12.29,10443,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖二機,89.11.17,10443,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖三機,89.11.25,10443,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖四機,90.02.27,10443,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖五機,91.05.09,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖六機,91.06.05,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖七機,91.08.03,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖八機,91.08.13,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖九機,91.11.02,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖十機,91.11.26,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖十一機,92.01.29,11000,重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖十二機,92.01.19,11000,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔一機,89.07.01,7900,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔二機,89.07.23,7900,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔三機,89.09.27,7900,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔四機,89.10.28,7900,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔五機,92.03.24,8250,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔六機,92.03.30,8250,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔七機,93.02.27,8250,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,塔八機,92.01.27,8250,重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,夏一機,71.07.20,3168,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,夏二機,71.07.20,3168,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,夏三機,78.11.17,3512,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,夏四機,82.05.03,3488,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,夏五機,82.05.03,3488,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,夏六機,82.05.03,3488,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,麒麟五機,80.11.15,1540,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,麒麟六機,80.11.15,1540,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,麒麟七機,91.01.29,1000,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,麒麟八機,91.02.03,1000,輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,(082)323053,(082)323054,麒麟九機,95.08.23,1000,輕柴油
協和電廠－珠山分廠,20942 連江縣南竿鄉清水村99之9號,(0836)26300,(0836)26719,珠一機,99.3.22,3850,重油
協和電廠－珠山分廠,20942 連江縣南竿鄉清水村99之9號,(0836)26300,(0836)26719,珠二機,99.3.22,3850,重油
協和電廠－珠山分廠,20942 連江縣南竿鄉清水村99之9號,(0836)26300,(0836)26719,珠三機,99.3.22,3850,重油
協和電廠－珠山分廠,20942 連江縣南竿鄉清水村99之9號,(0836)26300,(0836)26719,珠四機,99.3.22,3850,重油
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,烏來#1機,39.12,11250,水
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,烏來#2機,39.12,11250,水
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,桂山#1機,30.12,6500,水
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,桂山#2機,30.12,6500,水
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,粗坑,81.7.31,5000,水
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,翡翠,75.8.28,70000,水
桂山發電廠,23160 新北市新店區桂山路37號,(02)2666-7223,(02)2666-7270,軟橋,82.1.30,220,水
石門發電廠,32547 桃園市龍潭區大平村石門寮,(03)471-2020,(03)471-1209,石門#1機,53.01,45000,水
石門發電廠,32547 桃園市龍潭區大平村石門寮,(03)471-2020,(03)471-1209,石門#2機,53.01,45000,水
石門發電廠,32547 桃園市龍潭區大平村石門寮,(03)471-2020,(03)471-1209,義興,72.07.15,40000,水
卓蘭發電廠,36943 苗栗縣卓蘭鎮景山里電廠一號,(04)2592-1293,(04)2592-1949,卓蘭#1機,91.01.30,40000,水
卓蘭發電廠,36943 苗栗縣卓蘭鎮景山里電廠一號,(04)2592-1293,(04)2592-1949,卓蘭#2機,91.06.06,40000,水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,(049)2974166,(049)2974716,萬大#1機,46.07,10350,水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,(049)2974166,(049)2974716,萬大#2機,46.07,10350,水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,(049)2974166,(049)2974716,萬大#3機,32.03,15300,水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,(049)2974166,(049)2974716,萬大#4機,101.9.18,19700,水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,(049)2974166,(049)2974716,松林#1機,101.12.27,18200,水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,(049)2974166,(049)2974716,松林#2機,101.12.27,2700,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀一廠#1機,23.07,22000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀一廠#2機,23.07,22000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀一廠#3機,23.07,22000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀一廠#4機,23.07,22000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀一廠#5機,23.07,22000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀二廠#1機,74.09,250000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀二廠#2機,74.09,250000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀二廠#3機,74.09,250000,水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,(049)2774016,(049)2871130,大觀二廠#4機,74.09,250000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,明潭#1機,83.01.02,267000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,明潭#2機,84.02.10,267000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,明潭#3機,83.01.04,267000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,明潭#4機,84.02.16,267000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,明潭#5機,82.12.27,267000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,明潭#6機,83.01.30,267000,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,水里,81.09.07,12800,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,鉅工#1機,26.08,21750,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,鉅工#2機,26.08,21750,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,濁水,100.03.01,3607,水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,(049)2776605,(049)2870952,北山,78.07.19,4320,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,后里#1機,1.07,475,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,后里#2機,1.07,475,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,德基#1機,63.06,78000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,德基#2機,63.06,78000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,德基#3機,63.06,78000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,青山一機,104.12.29,92000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,青山二機,104.12.29,92000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,青山三機,104.12.29,92000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,青山四機,104.12.29,92000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,谷關#1機,99.10.22,54450,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,谷關#2機,99.10.22,54450,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,谷關#3機,99.10.22,54450,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,谷關#4機,99.10.22,54450,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,天輪#1機,41.09,22500,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,天輪#2機,41.09,22500,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,天輪#3機,41.09,22500,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,天輪#4機,41.09,22500,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,天輪#5機,85.04.30,105000,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,馬鞍#1機,87.07.20,66735,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,馬鞍#2機,87.09.30,66735,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,(04)25941574,(04)25942491,社寮,83.10.14,945,水
曾文發電廠,71544 台南市楠西區密枝里133號,(06)5752-034,(06)5751-584,曾文,62.07,50000,水
高屏發電廠,84304 高雄市美濃區竹門20號,(07)685-1079,(07)685-2335,六龜#1機,83.5,2250,水
高屏發電廠,84304 高雄市美濃區竹門20號,(07)685-1079,(07)685-2335,六龜#2機,83.5,2250,水
高屏發電廠,84304 高雄市美濃區竹門20號,(07)685-1079,(07)685-2335,竹門,99.10.4,2670,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,立霧#1機,33.04,16000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,立霧#2機,33.04,16000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,龍溪,75.4.27,4700,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,龍澗#1機,48.06,48600,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,龍澗#2機,73.09.12,48600,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,水簾,74.04.30,9500,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,清水#1機,30.03,2500,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,清水#2機,30.03,2500,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,清水#3機,30.03,2000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,清流,72.12.27,4200,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,銅門#1機,44.01,7000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,銅門#2機,44.01,7000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,銅門#3機,44.01,7000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,榕樹,56.01,2700,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,初英,30.02,2000,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,溪口,49.05,2700,水
東部發電廠,97053 花蓮市自由街136號,(03)8350161-6,(03)8355981,碧海,101.12,61200,水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,(03)989-2317,(03)9893628,圓山#1機,30.12,9000,水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,(03)989-2317,(03)9893628,圓山#2機,30.12,9000,水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,(03)989-2317,(03)9893628,天埤#1機,11.05,2125,水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,(03)989-2317,(03)9893628,天埤#2機,11.05,2125,水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,(03)989-2317,(03)9893628,天埤#3機,11.05,2125,水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,(03)989-2317,(03)9893628,天埤#4機,11.05,2000,水
東興發電廠,95495台東縣卑南鄉東興村發電所路17號,(089)-353547,無,東興#1機,38,400,水
東興發電廠,95495台東縣卑南鄉東興村發電所路18號,(089)-353547,無,東興#2機,47,400,水