縣市名稱,系統類型,平均每坪年收益(年/元)
基隆市,屋頂型,715.70
基隆市,地面型,498.41
臺北市,屋頂型,2227.11
臺北市,地面型,1550.96
新北市,屋頂型,1867.04
新北市,地面型,1300.21
桃園市,屋頂型,2373.81
桃園市,地面型,1653.12
新竹市,屋頂型,2269.34
新竹市,地面型,1580.37
新竹縣,屋頂型,2107.09
新竹縣,地面型,1467.38
苗栗縣,屋頂型,1928.90
苗栗縣,地面型,1343.27
臺中市,屋頂型,2017.81
臺中市,地面型,1405.19
彰化縣,屋頂型,2267.14
彰化縣,地面型,1578.82
南投縣,屋頂型,2087.39
南投縣,地面型,1453.64
雲林縣,屋頂型,2390.83
雲林縣,地面型,1664.96
嘉義市,屋頂型,2205.29
嘉義市,地面型,1535.75
嘉義縣,屋頂型,2240.08
嘉義縣,地面型,1559.98
臺南市,屋頂型,2205.29
臺南市,地面型,1535.75
高雄市,屋頂型,2108.65
高雄市,地面型,1468.45
屏東縣,屋頂型,2033.27
屏東縣,地面型,1415.96
宜蘭縣,屋頂型,2180.44
宜蘭縣,地面型,1518.46
花蓮縣,屋頂型,1949.28
花蓮縣,地面型,1357.48
臺東縣,屋頂型,1930.83
臺東縣,地面型,1344.62
澎湖縣,屋頂型,2238.14
澎湖縣,地面型,1558.63
金門縣,屋頂型,2184.03
金門縣,地面型,1520.94
連江縣,屋頂型,0
連江縣,地面型,0